Image Data,Label
[0.13333334 0.11764706 0.09019608 ... 0.36862746 0.30588236 0.28235295],0
[0.38039216 0.40392157 0.4        ... 0.14509805 0.         0.        ],0
[0.21568628 0.29411766 0.2784314  ... 0.07450981 0.02352941 0.01960784],0
[0.23529412 0.23137255 0.10196079 ... 0.6392157  0.30980393 0.06666667],0
[0.93333334 0.92941177 0.8980392  ... 0.12941177 0.09411765 0.10588235],0
[0.25882354 0.6627451  0.63529414 ... 0.11764706 0.12941177 0.10588235],0
[1.         0.99215686 0.9372549  ... 0.39215687 0.33333334 0.2901961 ],0
[0.9843137  0.9843137  0.972549   ... 0.2901961  0.28235295 0.2509804 ],0
[0.02745098 0.02352941 0.01176471 ... 0.20784314 0.17254902 0.1882353 ],0
[0.04313726 0.05490196 0.00784314 ... 0.57254905 0.54901963 0.5411765 ],0
[0.7764706  0.78431374 0.7921569  ... 0.23921569 0.23529412 0.23137255],0
[0.4392157  0.49803922 0.47058824 ... 0.09803922 0.09803922 0.18039216],0
[0.32941177 0.33333334 0.33333334 ... 0.20784314 0.32156864 0.19607843],0
[0.14901961 0.15686275 0.21176471 ... 0.1254902  0.09411765 0.10588235],0
[0.54509807 0.54901963 0.54901963 ... 0.25490198 0.24705882 0.23529412],0
[0.32941177 0.4392157  0.4509804  ... 0.22352941 0.17254902 0.08627451],0
[0.3764706  0.3764706  0.3764706  ... 0.49019608 0.49411765 0.61960787],0
[0.5411765  0.44313726 0.43529412 ... 0.39607844 0.41960785 0.40784314],0
[0.79607844 0.8039216  0.8117647  ... 0.91764706 0.91764706 0.92156863],0
[0.7882353  0.85490197 0.85882354 ... 0.8980392  0.8862745  0.8745098 ],0
[0.84313726 0.8392157  0.8392157  ... 0.06666667 0.06666667 0.07058824],0
[0.37254903 0.3647059  0.29411766 ... 0.04313726 0.0627451  0.08235294],0
[0.5529412  0.4745098  0.41960785 ... 0.15294118 0.15294118 0.15294118],0
[0.61960787 0.60784316 0.60784316 ... 0.64705884 0.654902   0.654902  ],0
[0.35686275 0.35686275 0.35686275 ... 0.3019608  0.3019608  0.32156864],0
[0.3372549  0.30980393 0.37254903 ... 0.6627451  0.64705884 0.7058824 ],0
[0.2784314  0.2627451  0.23529412 ... 0.12941177 0.11764706 0.11372549],0
[1.         0.95686275 0.7411765  ... 0.4745098  0.4117647  0.5137255 ],0
[1.         1.         1.         ... 0.3647059  0.3647059  0.14117648],0
[0.43529412 0.44313726 0.4509804  ... 0.46666667 0.41960785 0.38039216],0
[0.74509805 0.74509805 0.7372549  ... 0.6509804  0.6431373  0.62352943],0
[0.18431373 0.27450982 0.23921569 ... 0.8784314  0.8117647  0.52156866],0
[0.12156863 0.10588235 0.09803922 ... 0.4862745  0.32941177 0.28235295],0
[0.9647059  0.99215686 0.9843137  ... 0.3137255  0.25882354 0.2627451 ],0
[0.07450981 0.11764706 0.1764706  ... 0.03137255 0.03137255 0.01568628],0
[0.5764706 0.5764706 0.5764706 ... 0.7490196 0.7607843 0.7647059],0
[0.03921569 0.14509805 0.1254902  ... 0.00784314 0.01176471 0.00392157],0
[0.58431375 0.59607846 0.654902   ... 0.05098039 0.04705882 0.05882353],0
[0.48235294 0.48235294 0.48235294 ... 0.29411766 0.38431373 0.24313726],0
[0.7411765  0.7529412  0.7607843  ... 0.05490196 0.04705882 0.04705882],0
